INCHIKEY	Generation	NetworkSmiles	MinimumPathwayLength	MinimumPathwayEnergy
YTBSYETUWUMLBZ	G1	C(C(C(CO)O)O)=O	1	-16.39
RNZJRDIKDNXKIJ	G2	C(C(C(C(CO)O)O)N)=O	NaN	NaN
FZHXIRIBWMQPQF	G2	C(C(C(C(C(CO)O)O)O)N)=O	NaN	NaN
QSBOQJCOHPCHRB	G2	C(C(C(CN)O)N)=O	NaN	NaN
PYMYPHUHKUWMLA	G2	C(C(C(C(CO)O)O)O)=O	2	-45.989999999999995
JIDVIMQFVJVPPX	G2	C(C(C(CN)O)O)=O	2	-34.73
UQNPMNUVBRVOCQ	G2	C(C(C(CO)O)N)=O	2	-28.0
UQPHVQVXLPRNCX	G2	C(CO)(C(CO)O)=O	2	-18.39
UAOKRFJFLAUQNR	G2	C(CNCC=O)(C(CO)O)=O	NaN	NaN
WZDHWMRAASHPBX	G2	C(CN)(C(CO)O)=O	2	-36.730000000000004
PEDCQBHIVMGVHV	G2	C(C(CO)O)O	2	-63.01
UNXHWFMMPAWVPI	G2	C(C(C(CO)O)O)O	2	-41.34
RBNPOMFGQQGHHO	G2	C(C(CO)O)(O)=O	2	-62.79
JPIJQSOTBSSVTP	G2	C(C(C(CO)O)O)(O)=O	2	-46.56
MMZWUQKSIXGQLM	G2	C(C(CO)(C(CN)O)O)=O	2	-61.68
MGKXNCNVFOFGIA	G2	C(C(C(CO)O)(C(CN)O)O)=O	2	-45.45
OUEKYUKJSLEOIU	G2	C(C(CO)(CO)O)=O	2	-59.56999999999999
XUSNIIKGKKSRDZ	G2	C(C(CO)(C(CO)O)O)=O	2	-43.34
WITVYMTUWTVRND	G2	C(C(C(CN)O)O)(O)=O	3	-64.9
GECVMGDGBBOZSR	G2	C(C(C(CO)NCC=O)O)=O	NaN	NaN
KXMAOQJMLAAVJY	G2	C(C(C(CO)N)O)=O	2	-28.0
FMAORJIQYMIRHF	G2	C1C(C(C(O)O1)O)O	2	-17.990000000000002
