INCHIKEY	Generation	NetworkSmiles	MinimumPathwayLength	MinimumPathwayEnergy
YTBSYETUWUMLBZ	G1	C(C(C(CO)O)O)=O	2	-26.65
ZGCHLOWZNKRZSN	G1	C(C(CC(C(CO)O)O)=O)=O	1	-41.01
RXVDSZVTHMJWNV	G1	C(CC(C(C(CO)O)O)=O)=O	1	-53.84
QBHBJCPWTMMDIG	G1	C(C(C(CC(CO)O)=O)O)=O	1	-97.97
LVYQXQPAYHNLQF	G1	C(CC(C=O)O)(C(CO)O)=O	1	-41.01
KTQQRSZBGCOSES	G1	C(C(C(C=O)O)O)(CCO)=O	1	-41.01
ZNSXGNZNZVWMBM	G1	C(C(C(CC(CO)=O)O)O)=O	1	-41.01
MKKWPESNDMZCAX	G1	C(C(C(C(C(C)=O)O)O)O)=O	1	-45.4
DRFVLWXFACEMHK	G1	C(CC(C(C(C=O)O)O)O)=O	1	-39.01
LKUVPWZWJWOYKB	G2	C1(C(C(C(C1CO)O)O)O)=O	2	-129.28
GZYCZKBRQBKGJW	G2	C1(C(C(C(C(C1)O)O)O)O)=O	2	-132.13
FWWLBYLLLIZJAL	G2	C(C1C(C(C(C1O)O)O)O)=O	2	-107.52000000000001
UQPHVQVXLPRNCX	G2	C(CO)(C(CO)O)=O	3	-28.65
ZJCIIXYSVSASQO	G2	C(CC(C(C(CO)O)=O)O)=O	5	-170.01
OKVIFNQBEGMUGM	G2	C(C(CO)=O)(CC(CO)O)=O	2	-43.01
LZWSFTUENIWOJY	G2	C(C(C(CC(CO)O)O)=O)=O	NaN	NaN
JVFNKFJEKRIBEO	G2	C(C(CO)O)(CC(CO)=O)=O	2	-43.01
IIVQAABKLUTFMY	G2	C(C(CC(C(CO)=O)O)O)=O	5	-170.01
RWEGJCQFZKJRNT	G2	C(CCO)(C(C(CO)=O)O)=O	2	-43.01
KQLFTMYZWPHWPS	G2	C(C(C(C(CCO)O)=O)O)=O	NaN	NaN
QORDBZPIKABGJM	G2	C(CO)(C(CC(CO)=O)O)=O	2	-43.01
ZAZMXMODCOTURY	G2	C(C(C(CC(C=O)O)O)O)=O	4	-168.01
KFHNTUHHTDAEOF	G2	C(C)(C(C(C(CO)=O)O)O)=O	2	-47.4
LLJOTQMGGPLNOO	G2	C(C(C(C=O)O)O)(C(C)O)=O	3	-45.4
DPJVCISCLBZLDP	G2	C(CC(C(C(CO)=O)O)O)=O	2	-41.01
UNXHWFMMPAWVPI	G2	C(C(C(CO)O)O)O	3	-43.92
OXFWZSUJNURRMW	G2	C(CO)(CC(C(CO)O)O)=O	2	-58.28
MSERTCQRMJDWLM	G2	C(C(C(CO)O)O)(CCO)=O	2	-58.28
ZFKOVTBOKTVFNN	G2	C(C(CO)O)(CC(CO)O)=O	2	-58.28
IXDZFGATLNCIOI	G2	C(C)(C(C(C(CO)O)O)O)=O	2	-62.67
VRYALKFFQXWPIH	G2	C(CC(C(C(CO)O)O)O)=O	2	-56.28
QITFYRWXWLBOON	G2	C(C(C(C(CCO)O)O)O)=O	2	-56.28
JPIJQSOTBSSVTP	G2	C(C(C(CO)O)O)(O)=O	3	-43.92
OOMLFVGHKQXLAI	G2	C1(CC(C(C1(CO)O)O)O)=O	2	-132.6
KTMZJGYSSGDOQI	G2	C(C1(C(C(CC1O)O)O)O)=O	2	-110.85
WIKTYYPIOVPRBF	G2	C1(CC(C(C(CO)O)O1)O)=O	2	-67.33
QMKUJGYJIQIANY	G2	C1(COC(C(CO)O)C1O)=O	2	-53.14
CTMYXQCRPPOKCU	G2	C1(C(O)OC(C(CO)O)C1)=O	2	-53.14
GONGZWHRWCYDTA	G2	C1(C(C(CO)O)OC(C1)O)=O	2	-53.14
VTYZWSTWPSLGHX	G2	C(C)(C1C(C(C(O1)O)O)O)=O	2	-46.85
FSEGFALCGGGEPO	G2	C(CC1C(C(C(O)O1)O)O)=O	2	-40.46
DBXNZGWNBVNDSO	G2	C1(CC(C(C(CO)O1)O)O)=O	2	-70.03
OCLOLUFOLJIQDC	G2	C1(COC(CO)C(C1O)O)=O	2	-55.839999999999996
UHPMJDGOAZMIID	G2	C1(C(O)OC(CO)C(C1)O)=O	2	-55.839999999999996
PVKLTCFYNBLGMN	G2	C1(C(C(CO)OC(C1)O)O)=O	2	-55.839999999999996
IOFQXNNENHCUQL	G2	C1(C(C(O)OC(CO)C1)O)=O	2	-55.839999999999996
NWAQREDMTHFVFF	G2	C1(C(CO)OC(C(C1)O)O)=O	2	-55.839999999999996
HOHFQGCXQDHZJL	G2	C1(CC(C(C(CO1)O)O)O)=O	2	-72.89
DBLLDNNAYQFXMT	G2	C1(COCC(C(C1O)O)O)=O	2	-58.699999999999996
FDUCWCLOCIPWJT	G2	C1(C(O)OCC(C(C1)O)O)=O	2	-58.699999999999996
PATGLOACTPYBAI	G2	C1(C(C(COC(C1)O)O)O)=O	2	-58.699999999999996
KGUNYMYUWFWAAR	G2	C1(C(C(O)OCC(C1)O)O)=O	2	-58.699999999999996
YYOBYHDYKCPMFE	G2	C1(C(COC(C(C1)O)O)O)=O	2	-58.699999999999996
KRKZFVZQYDKETD	G2	C1(C(C(C(O)OCC1)O)O)=O	2	-58.699999999999996
QQYKOAFGQUCGEA	G2	C1(COC(C(C(C1)O)O)O)=O	2	-58.699999999999996
FMAORJIQYMIRHF	G2	C1C(C(C(O)O1)O)O	3	-28.25
XCOLHFJYVWHMEU	G2	C(C1(CC(C(CO)O1)O)O)=O	NaN	NaN
OJFNRRYMUBSATR	G2	C(CC1(C(C(CO1)O)O)O)=O	NaN	NaN
XSOCZPWENAPSDW	G2	C(C(C1(CC(CO1)O)O)O)=O	NaN	NaN
DNFROWGDJNTHSQ	G2	C(C1C(CC(CO)(O1)O)O)=O	NaN	NaN
DUPMVEXRXRIHES	G2	C(C1C(C(C(C)(O1)O)O)O)=O	2	-48.03
DLPYFNDTPUTRMF	G2	C(C(C1C(CC(O)O1)O)O)=O	NaN	NaN
LBJWYRASHSNTEP	G2	C(C1(CC(C(CO1)O)O)O)=O	NaN	NaN
MRAMFUAQJIBLST	G2	C(C1C(C(CC(O1)O)O)O)=O	NaN	NaN
